Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
David de Gea,es ESP,GK,31,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bruno Fernandes,pt POR,"MF,FW",27,36.8,8,90,32,35.6,2.44,0.87,0.07,0.19,20.8,6,2,2,9.3,7.7,0.09,-1.3,-1.7,Matches
Marcus Rashford,eng ENG,FW,24,32.0,17,108,49,45.4,3.38,1.53,0.16,0.35,16.4,7,0,0,15.4,15.4,0.15,+1.6,+1.6,Matches
Luke Shaw,eng ENG,DF,27,28.4,1,14,4,28.6,0.49,0.14,0.07,0.25,18.7,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Christian Eriksen,dk DEN,MF,30,22.8,1,39,11,28.2,1.71,0.48,0.03,0.09,19.3,4,0,0,5.0,5.0,0.13,-4.0,-4.0,Matches
Diogo Dalot,pt POR,DF,23,23.9,1,22,7,31.8,0.92,0.29,0.05,0.14,19.9,0,0,0,2.5,2.5,0.11,-1.5,-1.5,Matches
Casemiro,br BRA,MF,30,23.6,4,34,11,32.4,1.44,0.47,0.12,0.36,21.6,0,0,0,3.4,3.4,0.10,+0.6,+0.6,Matches
Lisandro Martínez,ar ARG,DF,24,23.5,1,10,1,10.0,0.43,0.04,0.10,1.00,14.8,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Antony,br BRA,FW,22,20.0,4,72,24,33.3,3.60,1.20,0.06,0.17,19.6,0,0,0,6.6,6.6,0.09,-2.6,-2.6,Matches
Raphaël Varane,fr FRA,DF,29,21.2,0,8,4,50.0,0.38,0.19,0.00,0.00,11.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Jadon Sancho,eng ENG,"FW,MF",22,18.7,6,21,9,42.9,1.12,0.48,0.29,0.67,14.1,0,0,0,4.2,4.2,0.20,+1.8,+1.8,Matches
Aaron Wan-Bissaka,eng ENG,DF,24,15.9,0,10,2,20.0,0.63,0.13,0.00,0.00,14.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches
Tyrell Malacia,nl NED,DF,22,15.5,0,5,2,40.0,0.32,0.13,0.00,0.00,22.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Victor Lindelöf,se SWE,DF,28,15.2,0,3,0,0.0,0.20,0.00,0.00,,7.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Fred,br BRA,MF,29,13.9,2,26,5,19.2,1.87,0.36,0.08,0.40,19.5,0,0,0,2.0,2.0,0.08,0.0,0.0,Matches
Anthony Martial,fr FRA,FW,26,10.9,6,26,12,46.2,2.39,1.10,0.19,0.42,13.2,0,1,1,6.2,5.5,0.21,-0.2,-0.5,Matches
Scott McTominay,sct SCO,MF,25,12.9,1,13,6,46.2,1.01,0.47,0.08,0.17,14.9,0,0,0,1.9,1.9,0.15,-0.9,-0.9,Matches
Wout Weghorst,nl NED,"FW,MF",29,8.9,0,14,5,35.7,1.58,0.56,0.00,0.00,12.5,0,0,0,2.0,2.0,0.14,-2.0,-2.0,Matches
Harry Maguire,eng ENG,DF,29,8.5,0,3,0,0.0,0.35,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.12,-0.3,-0.3,Matches
Marcel Sabitzer,at AUT,MF,28,7.0,0,11,3,27.3,1.58,0.43,0.00,0.00,18.2,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Alejandro Garnacho,ar ARG,"FW,MF",18,6.3,3,24,9,37.5,3.80,1.42,0.13,0.33,16.3,0,0,0,3.0,3.0,0.13,0.0,0.0,Matches
Anthony Elanga,se SWE,FW,20,4.7,0,10,4,40.0,2.11,0.85,0.00,0.00,13.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Cristiano Ronaldo,pt POR,FW,37,5.8,1,25,6,24.0,4.29,1.03,0.04,0.17,17.7,1,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
Donny van de Beek,nl NED,MF,25,1.9,0,2,0,0.0,1.08,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Facundo Pellistri,uy URU,"FW,MF",20,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kobbie Mainoo,eng ENG,MF,17,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
